roman,study_name,time,dofs,dice,vta_voxel_volume,ngs_vta_volume,imp,imp_rel_error,ngs_vta_volume_rel_error,vta_voxel_volume_rel_err,best_impedance,best_time,best_dofs,best_ngs_vta_volume,best_volume
\rom{1},default,0.3691742420196533,30481,0.9982256944444444,21.546875,21.320974877468597,2781.090839010719,2.5167320380921403,3.525519068158166,5.630026809651475,2852.890446899509,77.90859866142273,1692649,20.59489782749265,20.3984375
\rom{2},fine,0.5294678211212158,89689,0.9991128472222223,20.939453125,21.026603535657692,2813.137702826833,1.3934199301581545,2.096177955244553,2.6522405208732285,2852.890446899509,77.90859866142273,1692649,20.59489782749265,20.3984375
\rom{3},very_fine,2.118823766708374,558642,0.9995434027777778,20.462890625,20.789389073416622,2832.942485822472,0.6992193162803014,0.9443661607504504,0.3159708923783991,2852.890446899509,77.90859866142273,1692649,20.59489782749265,20.3984375
\rom{4},edge_refinement,0.3391389846801758,32013,0.99878125,21.17578125,21.070256553739128,2803.907129983756,1.716971535622313,2.3081383079837754,3.8108004595940255,2852.890446899509,77.90859866142273,1692649,20.59489782749265,20.3984375
\rom{5},fine_edge_refinement,0.36727285385131836,43893,0.9991527777777778,20.65625,20.72512862513461,2829.655577529284,0.8144325834690261,0.6323449561770033,1.2638835695135964,2852.890446899509,77.90859866142273,1692649,20.59489782749265,20.3984375
\rom{6},very_fine_edge_refinement,0.3766803741455078,57098,0.9992048611111111,20.5,20.546646080599984,2837.1433314914766,0.5519705611249807,0.2342898095287214,0.497893527384144,2852.890446899509,77.90859866142273,1692649,20.59489782749265,20.3984375
\rom{7},edge_voxel_refinement,0.33912062644958496,43211,0.999140625,20.697265625,20.72765869403873,2829.64769792589,0.8147087806641408,0.6446298867715323,1.4649559555725775,2852.890446899509,77.90859866142273,1692649,20.59489782749265,20.3984375
\rom{8},material_refinement,16.403018474578857,3576355,0.9995451388888889,20.4609375,20.782206487249393,2834.472087943221,0.6456034432133392,0.9094905996896883,0.3063960168517809,2852.890446899509,77.90859866142273,1692649,20.59489782749265,20.3984375
\rom{9},edge_single_material_refinement,0.634357213973999,97293,0.9991666666666666,20.6875,20.762927216025556,2834.440745342409,0.6467020693749582,0.8158787187989716,1.4170815779394867,2852.890446899509,77.90859866142273,1692649,20.59489782749265,20.3984375
\rom{10},edge_double_material_refinement,2.2232229709625244,367500,0.9991840277777778,20.703125,20.755782164399847,2836.382629047902,0.5786348322469729,0.7811854093902144,1.493680582152432,2852.890446899509,77.90859866142273,1692649,20.59489782749265,20.3984375
\rom{11},fine_edge_single_material_refinement,0.9426429271697998,109101,0.99921875,20.51171875,20.567652401605812,2841.263559257532,0.40754763838242425,0.13229211484831307,0.5553427805438529,2852.890446899509,77.90859866142273,1692649,20.59489782749265,20.3984375
\rom{12},fine_edge_double_material_refinement,2.0811853408813477,370054,0.9992447916666667,20.482421875,20.573809330421874,2843.47450472328,0.3300492027817587,0.10239670644360527,0.41171964764458063,2852.890446899509,77.90859866142273,1692649,20.59489782749265,20.3984375
