roman,study_name,time,dofs,dice,vta_voxel_volume,ngs_vta_volume,imp,imp_rel_error,ngs_vta_volume_rel_error,vta_voxel_volume_rel_err,best_impedance,best_time,best_dofs,best_ngs_vta_volume,best_volume
\rom{1},default,0.5115635395050049,47690,0.998765625,23.328125,23.28524716870025,2041.2511414577004,5.366475741724606,2.6685976502257356,2.1203830369357046,2157.006364770569,2181.535723924637,25351467,22.680008981937284,22.84375
\rom{2},fine,0.9354109764099121,177809,0.99940625,23.15625,23.063365704813826,2091.990539336866,3.0141693828807226,1.6902847048334642,1.3679890560875514,2157.006364770569,2181.535723924637,25351467,22.680008981937284,22.84375
\rom{3},very_fine,2.5176985263824463,825432,0.999734375,22.953125,22.8782526090911,2124.104957574109,1.525327311677143,0.8740897206509008,0.478796169630643,2157.006364770569,2181.535723924637,25351467,22.680008981937284,22.84375
\rom{4},edge_refinement,0.41176915168762207,49897,0.998859375,23.453125,23.24610564304248,2067.7880545572425,4.136209872649867,2.496016035778662,2.667578659370725,2157.006364770569,2181.535723924637,25351467,22.680008981937284,22.84375
\rom{5},fine_edge_refinement,0.5765907764434814,63695,0.9995,23.09375,22.860071665289027,2127.3521639767205,1.374785039032673,0.7939268608541885,1.094391244870041,2157.006364770569,2181.535723924637,25351467,22.680008981937284,22.84375
\rom{6},very_fine_edge_refinement,0.5009682178497314,76108,0.999609375,22.890625,22.828581617350576,2137.5696787723928,0.9010954402187594,0.655081907293851,0.2051983584131327,2157.006364770569,2181.535723924637,25351467,22.680008981937284,22.84375
\rom{7},edge_voxel_refinement,0.4799492359161377,67620,0.999453125,22.921875,22.83025377093875,2126.9405184784514,1.3938691504656435,0.6624547156093415,0.34199726402188785,2157.006364770569,2181.535723924637,25351467,22.680008981937284,22.84375
\rom{8},material_refinement,20.447938442230225,4606470,0.999734375,22.953125,22.88460009725046,2124.2886442121107,1.516811498233019,0.9020768707636506,0.478796169630643,2157.006364770569,2181.535723924637,25351467,22.680008981937284,22.84375
\rom{9},edge_single_material_refinement,0.8568885326385498,125219,0.99953125,23.125,22.862980206610125,2127.973092760967,1.3459984394941644,0.806751112041277,1.231190150478796,2157.006364770569,2181.535723924637,25351467,22.680008981937284,22.84375
\rom{10},edge_double_material_refinement,2.1984152793884277,444650,0.9995,23.09375,22.868281743126495,2128.181079241004,1.336356072024413,0.8301264842494294,1.094391244870041,2157.006364770569,2181.535723924637,25351467,22.680008981937284,22.84375
\rom{11},fine_edge_single_material_refinement,0.943293571472168,137177,0.99965625,22.9375,22.827548016540533,2138.016217379637,0.8803936650855281,0.6505245863030775,0.4103967168262654,2157.006364770569,2181.535723924637,25351467,22.680008981937284,22.84375
\rom{12},fine_edge_double_material_refinement,2.224534749984741,460028,0.999671875,22.921875,22.831168611633892,2138.2251107499446,0.8707092536846467,0.6664884031439029,0.34199726402188785,2157.006364770569,2181.535723924637,25351467,22.680008981937284,22.84375
\rom{13},hp_refinement,0.6914875507354736,52975,0.99890625,22.8125,22.728746583053375,2144.39158630714,0.5848280593632078,0.21489233604319358,0.13679890560875513,2157.006364770569,2181.535723924637,25351467,22.680008981937284,22.84375
\rom{14},hp_material_refinement,1.1265666484832764,112668,0.99896875,22.78125,22.747255578004367,2145.283909173205,0.5434594811040717,0.29650162890428733,0.27359781121751026,2157.006364770569,2181.535723924637,25351467,22.680008981937284,22.84375
