truncation_ratio,timesteps,h5_size_MB,h5_size_total_MB,n_contacts,dofs,vcm_time,M1_cf_face_right_activated,M1_cf_face_right_error,M1_cf_face_right_max_error,M1_cf_lowerex_right_activated,M1_cf_lowerex_right_error,M1_cf_lowerex_right_max_error,M1_cf_upperex_right_activated,M1_cf_upperex_right_error,M1_cf_upperex_right_max_error,R_M1_hdp_face_right_activated,R_M1_hdp_face_right_error,R_M1_hdp_face_right_max_error,R_M1_hdp_lowerex_right_activated,R_M1_hdp_lowerex_right_error,R_M1_hdp_lowerex_right_max_error,R_M1_hdp_upperex_right_activated,R_M1_hdp_upperex_right_error,R_M1_hdp_upperex_right_max_error,cerebellothalamic_right_activated,cerebellothalamic_right_error,cerebellothalamic_right_max_error,gpe2stn_ass_right_activated,gpe2stn_ass_right_error,gpe2stn_ass_right_max_error,gpe2stn_sm_right_activated,gpe2stn_sm_right_error,gpe2stn_sm_right_max_error,medial_lemniscus_right_activated,medial_lemniscus_right_error,medial_lemniscus_right_max_error
none,3846,2343.8,18750.3,8,117839,52.0,36.043795620437955,0.0,0.0,54.09051094890511,0.0,0.0,68.16934306569344,0.0,0.0,50.21897810218978,0.0,0.0,47.45985401459854,0.0,0.0,53.14598540145985,0.0,0.0,32.60145985401459,0.0,0.0,10.017518248175183,0.0,0.0,40.54598540145985,0.0,0.0,0.040875912408759124,0.0,0.0
5,150,97.1,776.5,8,117839,53.2,18.770802919708025,17.272992700729926,98.0,24.224817518248177,29.865693430656933,99.2,33.10948905109489,35.059854014598535,100.0,42.802919708029194,7.416058394160584,37.0,40.35036496350365,7.109489051094891,46.0,45.583941605839414,7.562043795620438,43.0,4.157664233576642,28.443795620437953,100.0,9.185401459854015,0.8321167883211679,6.4,33.09489051094891,7.451094890510948,31.199999999999996,0.040875912408759124,0.0,0.0
10,300,188.2,1505.9,8,117839,51.9,35.48905109489051,0.5547445255474452,6.399999999999999,53.652554744525546,0.43795620437956223,4.799999999999997,67.88613138686131,0.2832116788321169,4.0,50.197080291970806,0.021897810218978103,1.0,47.42335766423358,0.0364963503649635,1.0,53.07299270072993,0.072992700729927,4.0,5.2846715328467155,27.31678832116788,100.0,9.98248175182482,0.035036496350364946,0.8000000000000007,40.45255474452555,0.09343065693430633,1.1999999999999957,0.040875912408759124,0.0,0.0
20,600,370.6,2964.9,8,117839,55.4,36.043795620437955,0.0,0.0,54.09051094890511,0.0,0.0,68.16934306569344,0.0,0.0,50.21897810218978,0.0,0.0,47.45985401459854,0.0,0.0,53.13868613138686,0.0072992700729927005,1.0,32.59562043795621,0.0058394160583941914,0.8000000000000043,10.017518248175183,0.0,0.0,40.54598540145985,0.0,0.0,0.040875912408759124,0.0,0.0
30,900,553.0,4423.8,8,117839,51.6,36.043795620437955,0.0,0.0,54.09051094890511,0.0,0.0,68.16934306569344,0.0,0.0,50.21897810218978,0.0,0.0,47.45985401459854,0.0,0.0,53.14598540145985,0.0,0.0,32.60145985401459,0.0,0.0,10.017518248175183,0.0,0.0,40.54598540145985,0.0,0.0,0.040875912408759124,0.0,0.0
