M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
0.0,13.6,4.4,8.0,7.0,10.0,0.0,0.0,5.6,0.0
9.2,79.2,75.6,33.0,34.0,34.0,12.8,9.2,24.0,0.0
42.4,98.4,96.4,52.0,53.0,56.0,44.0,20.4,40.0,0.0
0.0,6.0,30.8,29.0,21.0,22.0,0.0,6.4,17.6,0.0
27.6,55.6,90.4,53.0,57.0,55.0,15.2,22.8,37.6,0.0
60.0,89.6,98.4,70.0,68.0,72.0,60.8,36.0,55.6,0.0
0.0,0.0,0.0,26.0,37.0,32.0,28.0,2.0,23.2,0.0
0.0,7.6,3.2,60.0,59.0,69.0,79.2,17.2,52.8,0.0
0.4,42.8,42.8,74.0,63.0,76.0,89.6,32.8,66.8,0.0
0.0,27.2,8.4,30.0,43.0,35.0,0.8,0.0,18.8,0.0
0.4,87.2,72.8,58.0,58.0,66.0,20.8,3.2,44.0,0.0
9.2,99.2,95.2,68.0,62.0,70.0,56.8,16.0,61.2,0.0
1.6,0.8,45.2,51.0,48.0,48.0,0.0,6.4,37.2,0.0
48.4,28.8,94.4,78.0,67.0,72.0,17.6,21.6,52.0,0.0
86.4,69.6,98.8,80.0,73.0,80.0,67.2,32.4,58.0,0.0
0.0,0.0,0.0,45.0,53.0,50.0,44.8,2.4,33.6,0.0
0.0,4.4,27.2,67.0,68.0,72.0,92.0,16.0,59.2,0.0
18.4,28.4,69.6,76.0,72.0,80.0,98.4,26.0,66.8,0.0
0.0,18.4,29.6,53.0,63.0,60.0,0.0,0.0,33.2,0.0
5.6,77.2,89.6,64.0,73.0,75.0,33.6,4.4,58.0,0.0
34.0,96.0,98.8,70.0,74.0,77.0,76.8,12.4,68.0,0.0
0.0,0.8,39.6,63.0,46.0,66.0,4.8,2.0,42.4,0.0
35.6,33.2,94.0,71.0,68.0,79.0,29.6,8.8,56.0,0.0
76.8,75.6,98.8,75.0,73.0,82.0,83.2,14.4,65.6,0.0
