roman,study_name,time,dofs,dice,vta_voxel_volume,ngs_vta_volume,imp,imp_rel_error,ngs_vta_volume_rel_error,vta_voxel_volume_rel_err,best_impedance,best_time,best_dofs,best_ngs_vta_volume,best_volume
\rom{1},default,0.5103194713592529,47690,0.9992291666666666,19.5625,21.106286554154615,2806.750358777718,3.1550776534862885,5.263767198623971,6.553191489361702,2898.190520237179,1587.8529505729675,25184945,20.050856164333172,18.359375
\rom{2},fine,0.9205267429351807,177809,0.9996458333333333,19.03125,20.545709693734057,2849.5019985287904,1.6799627687831964,2.4679920166259004,3.6595744680851063,2898.190520237179,1587.8529505729675,25184945,20.050856164333172,18.359375
\rom{3},very_fine,2.627897262573242,825432,0.9998055555555555,18.640625,20.288271080910736,2874.1101271049324,0.8308768165550401,1.1840637358911457,1.5319148936170213,2898.190520237179,1587.8529505729675,25184945,20.050856164333172,18.359375
\rom{4},edge_refinement,0.4223203659057617,48902,0.9994583333333333,19.046875,20.571248825179676,2828.27694724783,2.4123180481463886,2.5953637918573667,3.74468085106383,2898.190520237179,1587.8529505729675,25184945,20.050856164333172,18.359375
\rom{5},fine_edge_refinement,0.5483157634735107,64033,0.9997152777777778,18.625,20.26830959581837,2873.8789013094133,0.8388550979656139,1.0845094578654797,1.446808510638298,2898.190520237179,1587.8529505729675,25184945,20.050856164333172,18.359375
\rom{6},very_fine_edge_refinement,0.8036682605743408,76377,0.9997152777777778,18.46875,20.160309829941756,2880.278104596749,0.6180551456280428,0.545880259234425,0.5957446808510638,2898.190520237179,1587.8529505729675,25184945,20.050856164333172,18.359375
\rom{7},edge_voxel_refinement,0.6653852462768555,68495,0.9997361111111112,18.546875,20.329149983977246,2873.1344772434363,0.8645409202322631,1.3879398334077488,1.0212765957446808,2898.190520237179,1587.8529505729675,25184945,20.050856164333172,18.359375
\rom{8},material_refinement,20.730976343154907,4606470,0.9997986111111111,18.65625,20.29113426001207,2875.0526750813806,0.798354869848409,1.1983433211510786,1.6170212765957446,2898.190520237179,1587.8529505729675,25184945,20.050856164333172,18.359375
\rom{9},edge_single_material_refinement,0.8393478393554688,119620,0.9997291666666667,18.625,20.266176579508624,2876.066965892172,0.7633574877332953,1.0738714267895821,1.446808510638298,2898.190520237179,1587.8529505729675,25184945,20.050856164333172,18.359375
\rom{10},edge_double_material_refinement,2.1832737922668457,406313,0.9997361111111112,18.671875,20.258869974971667,2877.273920037239,0.7217123944711681,1.037431064956284,1.702127659574468,2898.190520237179,1587.8529505729675,25184945,20.050856164333172,18.359375
\rom{11},fine_edge_single_material_refinement,1.006124496459961,133033,0.9997430555555555,18.46875,20.17510862546928,2883.033713584316,0.5229748198756309,0.6196865615999563,0.5957446808510638,2898.190520237179,1587.8529505729675,25184945,20.050856164333172,18.359375
\rom{12},fine_edge_double_material_refinement,2.248746871948242,430394,0.9997569444444444,18.5,20.17416747106897,2884.191372287754,0.4830306307219411,0.6149927251243532,0.7659574468085106,2898.190520237179,1587.8529505729675,25184945,20.050856164333172,18.359375
\rom{13},hp_refinement,0.7212607860565186,52872,0.9995486111111112,18.75,20.393652621982177,2887.0497148708005,0.38440555541762117,1.7096350142832173,2.127659574468085,2898.190520237179,1587.8529505729675,25184945,20.050856164333172,18.359375
\rom{14},hp_material_refinement,1.02608060836792,112565,0.9995625,18.71875,20.37418095765125,2889.780052627749,0.2901971954811992,1.612523628258903,1.9574468085106382,2898.190520237179,1587.8529505729675,25184945,20.050856164333172,18.359375
