roman,study_name,time,dofs,dice,vta_voxel_volume,ngs_vta_volume,imp,imp_rel_error,ngs_vta_volume_rel_error,vta_voxel_volume_rel_err,best_impedance,best_time,best_dofs,best_ngs_vta_volume,best_volume
\rom{1},default,0.5040743350982666,47690,0.9992916666666667,28.65625,28.651209570908357,1507.5644223495028,3.1733462110432855,4.574751535930718,4.561003420752566,1556.9725518299836,1267.484858751297,25053245,27.397827056815068,27.40625
\rom{2},fine,0.9610905647277832,177809,0.9996041666666666,28.203125,28.1461256502728,1529.4951708826104,1.7647954625197266,2.7312333635290886,2.9076396807297606,1556.9725518299836,1267.484858751297,25053245,27.397827056815068,27.40625
\rom{3},very_fine,2.5196847915649414,825432,0.9997361111111112,27.875,27.74012550990133,1543.7101896539891,0.8518044945883315,1.2493635074651528,1.710376282782212,1556.9725518299836,1267.484858751297,25053245,27.397827056815068,27.40625
\rom{4},edge_refinement,0.4805428981781006,48870,0.9993194444444444,28.5625,28.56227799575811,1514.119740898796,2.7523164028049605,4.250158001684991,4.218928164196123,1556.9725518299836,1267.484858751297,25053245,27.397827056815068,27.40625
\rom{5},fine_edge_refinement,0.382098913192749,56168,0.9996458333333333,27.984375,27.844407204042852,1538.7501682369111,1.1703728220291878,1.629983816970989,2.1094640820980617,1556.9725518299836,1267.484858751297,25053245,27.397827056815068,27.40625
\rom{6},very_fine_edge_refinement,0.46621274948120117,62423,0.9996180555555556,27.921875,27.71814672044725,1542.6414130404742,0.9204490324935612,1.1691425855340072,1.8814139110604333,1556.9725518299836,1267.484858751297,25053245,27.397827056815068,27.40625
\rom{7},edge_voxel_refinement,0.5834970474243164,60364,0.9995763888888889,27.984375,27.799151452089152,1539.6964075715816,1.1095985114250382,1.4648037395150175,2.1094640820980617,1556.9725518299836,1267.484858751297,25053245,27.397827056815068,27.40625
\rom{8},material_refinement,18.732001543045044,4606470,0.9997430555555555,27.859375,27.717513960296696,1545.688764270522,0.7247261710682872,1.1668330587629854,1.653363740022805,1556.9725518299836,1267.484858751297,25053245,27.397827056815068,27.40625
\rom{9},edge_single_material_refinement,0.8265511989593506,115692,0.9996388888888889,27.96875,27.793044206392146,1543.663291293864,0.8548166453208571,1.4425127538673554,2.0524515393386547,1556.9725518299836,1267.484858751297,25053245,27.397827056815068,27.40625
\rom{10},edge_double_material_refinement,2.1170315742492676,427875,0.9996458333333333,27.953125,27.76479933737392,1545.8639924095046,0.7134717569312672,1.3394211146667154,1.9954389965792474,1556.9725518299836,1267.484858751297,25053245,27.397827056815068,27.40625
\rom{11},fine_edge_single_material_refinement,0.8276145458221436,121526,0.9996458333333333,27.828125,27.67871291778798,1547.348650105852,0.6181163381987839,1.0252121833984758,1.5393386545039909,1556.9725518299836,1267.484858751297,25053245,27.397827056815068,27.40625
\rom{12},fine_edge_double_material_refinement,2.0866918563842773,435513,0.9996388888888889,27.8125,27.645498585409616,1549.3619038169531,0.48881067325722977,0.9039823781679835,1.4823261117445838,1556.9725518299836,1267.484858751297,25053245,27.397827056815068,27.40625
\rom{13},hp_refinement,0.459808349609375,50326,0.9995416666666667,27.75,27.520008375526626,1546.5321304922586,0.6705591132903297,0.445952587620141,1.2542759407069555,1556.9725518299836,1267.484858751297,25053245,27.397827056815068,27.40625
\rom{14},hp_material_refinement,0.8664469718933105,109753,0.9995416666666667,27.6875,27.47215231196657,1550.7774563383125,0.39789368697538474,0.27128156914551893,1.0262257696693273,1556.9725518299836,1267.484858751297,25053245,27.397827056815068,27.40625
