frequencies [Hz],Resistance [Ohm]_E0C0_E0C1,Reactance [Ohm]_E0C0_E0C1
0.0,13889.285710796968,0.0
130.0,2925.3967834189325,569.5759872286253
260.0,2894.179808079818,339.2514574672879
390.0,2856.1058214197387,260.45992533181504
520.0,2856.1058214197387,260.45992533181504
650.0,2856.1058214197387,260.45992533181504
780.0,2782.2434305199167,258.32125166893127
910.0,2782.2434305199167,258.32125166893127
1040.0,2782.2434305199167,258.32125166893127
1170.0,2782.2434305199167,258.32125166893127
1300.0,2782.2434305199167,258.32125166893127
1430.0,2782.2434305199167,258.32125166893127
1560.0,2668.2970207105745,272.7553292255354
1690.0,2668.2970207105745,272.7553292255354
1820.0,2668.2970207105745,272.7553292255354
1950.0,2668.2970207105745,272.7553292255354
2080.0,2668.2970207105745,272.7553292255354
2210.0,2668.2970207105745,272.7553292255354
2340.0,2668.2970207105745,272.7553292255354
2470.0,2668.2970207105745,272.7553292255354
2600.0,2668.2970207105745,272.7553292255354
2730.0,2668.2970207105745,272.7553292255354
2860.0,2668.2970207105745,272.7553292255354
2990.0,2540.0283277901317,272.00779362856997
3120.0,2540.0283277901317,272.00779362856997
3250.0,2540.0283277901317,272.00779362856997
3380.0,2540.0283277901317,272.00779362856997
3510.0,2540.0283277901317,272.00779362856997
3640.0,2540.0283277901317,272.00779362856997
3770.0,2540.0283277901317,272.00779362856997
3900.0,2540.0283277901317,272.00779362856997
4030.0,2540.0283277901317,272.00779362856997
4160.0,2540.0283277901317,272.00779362856997
4290.0,2540.0283277901317,272.00779362856997
4420.0,2540.0283277901317,272.00779362856997
4550.0,2540.0283277901317,272.00779362856997
4680.0,2540.0283277901317,272.00779362856997
4810.0,2540.0283277901317,272.00779362856997
4940.0,2540.0283277901317,272.00779362856997
5070.0,2540.0283277901317,272.00779362856997
5200.0,2540.0283277901317,272.00779362856997
5330.0,2540.0283277901317,272.00779362856997
5460.0,2540.0283277901317,272.00779362856997
5590.0,2540.0283277901317,272.00779362856997
5720.0,2540.0283277901317,272.00779362856997
5850.0,2540.0283277901317,272.00779362856997
5980.0,2420.2456769190144,260.539883733024
6110.0,2420.2456769190144,260.539883733024
6240.0,2420.2456769190144,260.539883733024
6370.0,2420.2456769190144,260.539883733024
6500.0,2420.2456769190144,260.539883733024
6630.0,2420.2456769190144,260.539883733024
6760.0,2420.2456769190144,260.539883733024
6890.0,2420.2456769190144,260.539883733024
7020.0,2420.2456769190144,260.539883733024
7150.0,2420.2456769190144,260.539883733024
7280.0,2420.2456769190144,260.539883733024
7410.0,2420.2456769190144,260.539883733024
7540.0,2420.2456769190144,260.539883733024
7670.0,2420.2456769190144,260.539883733024
7800.0,2420.2456769190144,260.539883733024
7930.0,2420.2456769190144,260.539883733024
8060.0,2420.2456769190144,260.539883733024
8190.0,2420.2456769190144,260.539883733024
8320.0,2420.2456769190144,260.539883733024
8450.0,2420.2456769190144,260.539883733024
8580.0,2420.2456769190144,260.539883733024
8710.0,2420.2456769190144,260.539883733024
8840.0,2420.2456769190144,260.539883733024
8970.0,2420.2456769190144,260.539883733024
9100.0,2420.2456769190144,260.539883733024
9230.0,2420.2456769190144,260.539883733024
9360.0,2420.2456769190144,260.539883733024
9490.0,2420.2456769190144,260.539883733024
9620.0,2420.2456769190144,260.539883733024
9750.0,2420.2456769190144,260.539883733024
9880.0,2420.2456769190144,260.539883733024
10010.0,2420.2456769190144,260.539883733024
10140.0,2420.2456769190144,260.539883733024
10270.0,2420.2456769190144,260.539883733024
10400.0,2420.2456769190144,260.539883733024
10530.0,2420.2456769190144,260.539883733024
10660.0,2420.2456769190144,260.539883733024
10790.0,2420.2456769190144,260.539883733024
10920.0,2420.2456769190144,260.539883733024
11050.0,2420.2456769190144,260.539883733024
11180.0,2420.2456769190144,260.539883733024
11310.0,2420.2456769190144,260.539883733024
11440.0,2420.2456769190144,260.539883733024
11570.0,2420.2456769190144,260.539883733024
11700.0,2420.2456769190144,260.539883733024
11830.0,2311.656413471922,251.38828650892324
11960.0,2311.656413471922,251.38828650892324
12090.0,2311.656413471922,251.38828650892324
12220.0,2311.656413471922,251.38828650892324
12350.0,2311.656413471922,251.38828650892324
12480.0,2311.656413471922,251.38828650892324
12610.0,2311.656413471922,251.38828650892324
12740.0,2311.656413471922,251.38828650892324
12870.0,2311.656413471922,251.38828650892324
13000.0,2311.656413471922,251.38828650892324
13130.0,2311.656413471922,251.38828650892324
13260.0,2311.656413471922,251.38828650892324
13390.0,2311.656413471922,251.38828650892324
13520.0,2311.656413471922,251.38828650892324
13650.0,2311.656413471922,251.38828650892324
13780.0,2311.656413471922,251.38828650892324
13910.0,2311.656413471922,251.38828650892324
14040.0,2311.656413471922,251.38828650892324
14170.0,2311.656413471922,251.38828650892324
14300.0,2311.656413471922,251.38828650892324
14430.0,2311.656413471922,251.38828650892324
14560.0,2311.656413471922,251.38828650892324
14690.0,2311.656413471922,251.38828650892324
14820.0,2311.656413471922,251.38828650892324
14950.0,2311.656413471922,251.38828650892324
15080.0,2311.656413471922,251.38828650892324
15210.0,2311.656413471922,251.38828650892324
15340.0,2311.656413471922,251.38828650892324
15470.0,2311.656413471922,251.38828650892324
15600.0,2311.656413471922,251.38828650892324
15730.0,2311.656413471922,251.38828650892324
15860.0,2311.656413471922,251.38828650892324
15990.0,2311.656413471922,251.38828650892324
16120.0,2311.656413471922,251.38828650892324
16250.0,2311.656413471922,251.38828650892324
16380.0,2311.656413471922,251.38828650892324
16510.0,2311.656413471922,251.38828650892324
16640.0,2311.656413471922,251.38828650892324
16770.0,2311.656413471922,251.38828650892324
16900.0,2311.656413471922,251.38828650892324
17030.0,2311.656413471922,251.38828650892324
17160.0,2311.656413471922,251.38828650892324
17290.0,2311.656413471922,251.38828650892324
17420.0,2311.656413471922,251.38828650892324
17550.0,2311.656413471922,251.38828650892324
17680.0,2311.656413471922,251.38828650892324
17810.0,2311.656413471922,251.38828650892324
17940.0,2311.656413471922,251.38828650892324
18070.0,2311.656413471922,251.38828650892324
18200.0,2311.656413471922,251.38828650892324
18330.0,2311.656413471922,251.38828650892324
18460.0,2311.656413471922,251.38828650892324
18590.0,2311.656413471922,251.38828650892324
18720.0,2311.656413471922,251.38828650892324
18850.0,2311.656413471922,251.38828650892324
18980.0,2311.656413471922,251.38828650892324
19110.0,2311.656413471922,251.38828650892324
19240.0,2311.656413471922,251.38828650892324
19370.0,2311.656413471922,251.38828650892324
19500.0,2311.656413471922,251.38828650892324
19630.0,2311.656413471922,251.38828650892324
19760.0,2311.656413471922,251.38828650892324
19890.0,2311.656413471922,251.38828650892324
20020.0,2311.656413471922,251.38828650892324
20150.0,2311.656413471922,251.38828650892324
20280.0,2311.656413471922,251.38828650892324
20410.0,2311.656413471922,251.38828650892324
20540.0,2311.656413471922,251.38828650892324
20670.0,2311.656413471922,251.38828650892324
20800.0,2311.656413471922,251.38828650892324
20930.0,2311.656413471922,251.38828650892324
