roman,study_name,time,dofs,dice,vta_voxel_volume,ngs_vta_volume,imp,imp_rel_error,ngs_vta_volume_rel_error,vta_voxel_volume_rel_err,best_impedance,best_time,best_dofs,best_ngs_vta_volume,best_volume
\rom{1},default,0.769827127456665,47406,0.9985416666666667,11.44140625,11.422624687292675,3673.1731634071584,10.07194701500469,8.90579387198861,9.046909903201787,4084.5687652328415,1929.8532288074493,25123082,10.488537185376195,10.4921875
\rom{2},fine,1.073178768157959,179918,0.9991458333333333,11.169921875,11.172676646877276,3847.925562381824,5.793590864849295,6.5227347666264945,6.459419210722263,4084.5687652328415,1929.8532288074493,25123082,10.488537185376195,10.4921875
\rom{3},very_fine,2.6666488647460938,833640,0.9995486111111112,10.833984375,10.817782480347944,3965.080842220913,2.9253497708005214,3.139096416903626,3.257632166790767,4084.5687652328415,1929.8532288074493,25123082,10.488537185376195,10.4921875
\rom{4},edge_refinement,0.4553709030151367,48327,0.9988935185185185,11.26953125,11.317591493641743,3804.4419453447313,6.8581736772925055,7.904384506749609,7.408786299329859,4084.5687652328415,1929.8532288074493,25123082,10.488537185376195,10.4921875
\rom{5},fine_edge_refinement,0.6408932209014893,55288,0.9994537037037037,10.77734375,10.810892921049739,3986.508217323909,2.4007564456646557,3.073409856648006,2.717795979151154,4084.5687652328415,1929.8532288074493,25123082,10.488537185376195,10.4921875
\rom{6},very_fine_edge_refinement,0.7709963321685791,62376,0.9994884259259259,10.662109375,10.643613109987037,4018.840600114939,1.6091824840205742,1.4785276713997668,1.6195085629188384,4084.5687652328415,1929.8532288074493,25123082,10.488537185376195,10.4921875
\rom{7},edge_voxel_refinement,0.5965607166290283,60117,0.9994328703703703,10.732421875,10.77145670973845,3987.0408018582034,2.3877175041042196,2.6974164210116887,2.289650037230082,4084.5687652328415,1929.8532288074493,25123082,10.488537185376195,10.4921875
\rom{8},material_refinement,21.846160173416138,4758579,0.9995578703703704,10.826171875,10.822387931152555,3966.2567323392473,2.8965611719074555,3.183005788851436,3.1831720029784067,4084.5687652328415,1929.8532288074493,25123082,10.488537185376195,10.4921875
\rom{9},edge_single_material_refinement,1.098395586013794,110684,0.9995162037037038,10.767578125,10.786225723588124,3988.856370887809,2.3432680374907657,2.8382274186622136,2.6247207743857035,4084.5687652328415,1929.8532288074493,25123082,10.488537185376195,10.4921875
\rom{10},edge_double_material_refinement,2.5642426013946533,408588,0.9995324074074075,10.7578125,10.776600036077786,3989.884714368817,2.318091732717514,2.7464540155630766,2.5316455696202533,4084.5687652328415,1929.8532288074493,25123082,10.488537185376195,10.4921875
\rom{11},fine_edge_single_material_refinement,1.177837610244751,121293,0.9995601851851852,10.66796875,10.646057363843802,4021.5577381766543,1.5426604539633764,1.5018317205113383,1.6753536857781086,4084.5687652328415,1929.8532288074493,25123082,10.488537185376195,10.4921875
\rom{12},fine_edge_double_material_refinement,2.914808511734009,432458,0.9995810185185185,10.654296875,10.660969279228562,4022.3821610453374,1.522476612875905,1.6440051725495388,1.545048399106478,4084.5687652328415,1929.8532288074493,25123082,10.488537185376195,10.4921875
\rom{13},hp_refinement,0.7402276992797852,50275,0.9992615740740741,10.490234375,10.447928806700011,4047.486296831137,0.9078674037108646,0.3871691348227591,0.018615040953090096,4084.5687652328415,1929.8532288074493,25123082,10.488537185376195,10.4921875
\rom{14},hp_material_refinement,1.4742376804351807,106255,0.999363425925926,10.474609375,10.444948320676836,4056.239705713044,0.6935630454046925,0.415585738306133,0.16753536857781087,4084.5687652328415,1929.8532288074493,25123082,10.488537185376195,10.4921875
