frequencies [Hz],resistance__E0C0_BrainSurface__[Ohm],reactance__E0C0_BrainSurface__[Ohm]
0.0,549.802916948967,0.0
130.0,548.0422542152925,0.0
260.0,547.9283840080617,0.0
520.0,547.8571949097332,0.0
1040.0,547.7730373731763,0.0
2080.0,547.649786259861,0.0
4160.0,547.4830795809272,0.0
8320.0,547.2819648577247,0.0
16640.0,547.0546324174237,0.0
33280.0,546.8018038837615,0.0
66560.0,546.5171639630629,0.0
133120.0,546.1896299009637,0.0
266240.0,545.8038568271976,0.0
532480.0,545.336708578005,0.0
