M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
11.6,60.8,88.8,64.0,71.0,73.0,40.0,2.0,55.6,0.0
96.8,97.6,100.0,71.0,61.0,74.0,27.2,8.8,58.0,0.0
99.6,100.0,100.0,66.0,59.0,71.0,46.4,4.0,49.2,0.0
61.6,97.6,98.4,59.0,65.0,63.0,77.6,24.4,56.4,0.0
39.6,68.8,95.6,61.0,49.0,69.0,5.6,4.0,47.6,0.0
63.2,76.0,98.8,74.0,67.0,80.0,90.4,10.0,63.6,0.0
76.4,99.6,100.0,71.0,63.0,74.0,79.2,27.6,63.2,0.0
99.6,99.6,100.0,80.0,74.0,82.0,98.4,31.6,70.4,0.0
44.0,89.6,94.0,12.0,11.0,16.0,0.0,0.0,10.0,0.0
41.2,84.8,97.6,71.0,67.0,71.0,89.6,29.6,61.2,0.0
96.4,97.2,100.0,80.0,74.0,82.0,98.4,34.4,71.2,0.0
64.8,99.6,98.0,60.0,63.0,61.0,64.0,29.6,52.8,0.0
98.8,100.0,99.6,24.0,33.0,22.0,74.4,0.8,17.6,0.0
53.2,67.2,98.0,75.0,69.0,80.0,56.8,8.4,68.8,0.0
8.8,84.0,86.0,61.0,39.0,56.0,35.2,2.8,43.2,0.0
24.8,54.8,91.6,63.0,64.0,73.0,56.8,15.2,59.6,0.0
46.4,90.4,95.6,72.0,74.0,71.0,60.0,26.0,63.2,0.0
1.6,62.4,62.4,58.0,71.0,71.0,79.2,1.2,50.0,0.0
100.0,100.0,100.0,80.0,74.0,82.0,100.0,41.6,74.0,0.0
40.4,94.8,99.2,56.0,60.0,63.0,64.8,6.8,39.6,0.0
20.4,81.6,89.6,67.0,57.0,72.0,80.8,20.4,60.0,0.0
66.0,70.4,98.8,75.0,70.0,80.0,72.8,10.4,67.2,0.0
83.2,100.0,100.0,57.0,45.0,60.0,80.0,32.0,50.0,0.0
20.8,90.4,85.6,71.0,70.0,72.0,68.0,35.2,50.8,0.0
0.8,8.8,29.6,26.0,30.0,32.0,0.0,0.0,19.6,0.0
89.6,98.4,100.0,79.0,74.0,80.0,92.8,27.6,70.8,0.0
55.6,99.2,100.0,59.0,54.0,56.0,41.6,14.4,40.8,0.0
10.4,18.8,77.6,67.0,57.0,73.0,9.6,4.0,49.6,0.0
91.2,98.0,100.0,70.0,59.0,72.0,44.8,15.2,57.2,0.0
5.2,54.4,72.8,69.0,55.0,60.0,89.6,25.2,58.0,0.0
93.6,86.4,99.6,78.0,70.0,82.0,96.8,26.0,68.0,0.0
65.2,96.4,99.2,70.0,74.0,77.0,94.4,15.6,68.0,0.0
44.0,88.0,98.4,66.0,58.0,67.0,10.4,16.4,56.4,0.0
69.2,74.4,98.0,74.0,70.0,82.0,51.2,14.8,68.0,0.0
0.0,33.2,14.0,26.0,38.0,32.0,0.0,0.0,16.4,0.0
72.4,99.2,100.0,68.0,67.0,72.0,91.2,34.4,62.8,0.0
60.8,84.0,98.4,73.0,73.0,71.0,36.8,18.0,55.2,0.0
95.2,99.6,100.0,80.0,74.0,82.0,98.4,57.2,72.4,0.0
40.8,74.4,97.2,78.0,70.0,78.0,84.0,24.0,65.6,0.0
100.0,100.0,100.0,70.0,68.0,76.0,60.8,17.2,63.2,0.0
94.8,96.0,100.0,80.0,74.0,82.0,98.4,34.4,71.6,0.0
100.0,99.6,100.0,69.0,63.0,76.0,54.4,8.0,59.2,0.0
34.4,52.4,94.8,74.0,61.0,73.0,88.8,27.6,61.6,0.0
87.6,85.2,98.0,61.0,61.0,71.0,42.4,2.4,51.6,0.0
17.6,40.0,79.2,63.0,39.0,50.0,0.0,11.2,44.4,0.0
16.4,83.2,88.8,50.0,39.0,49.0,47.2,8.4,38.8,0.0
74.8,95.6,98.8,77.0,74.0,82.0,98.4,24.0,71.2,0.0
27.6,98.8,92.4,78.0,74.0,79.0,88.8,46.4,68.4,0.0
82.0,85.6,100.0,76.0,72.0,80.0,88.0,12.4,68.4,0.0
95.6,96.4,100.0,77.0,73.0,82.0,98.4,20.0,67.6,0.0
77.2,62.8,98.8,76.0,69.0,82.0,96.0,15.6,68.4,0.0
38.8,94.0,98.8,61.0,58.0,65.0,68.0,13.6,51.6,0.0
37.6,56.8,96.8,74.0,69.0,80.0,41.6,8.8,64.0,0.0
26.0,93.6,94.8,70.0,65.0,77.0,62.4,8.8,66.8,0.0
58.4,91.6,98.8,74.0,72.0,80.0,75.2,6.8,66.0,0.0
98.8,100.0,100.0,43.0,53.0,49.0,54.4,0.4,22.4,0.0
0.0,23.2,19.6,3.0,0.0,3.0,0.0,0.8,2.8,0.0
100.0,100.0,100.0,68.0,68.0,76.0,94.4,7.6,56.0,3.2
70.4,99.2,99.6,71.0,65.0,70.0,80.0,35.6,55.6,0.0
0.4,12.8,49.2,58.0,51.0,62.0,10.4,0.4,41.2,0.0
57.6,90.8,99.2,69.0,62.0,74.0,12.8,16.8,59.6,0.0
0.8,62.8,76.4,58.0,42.0,64.0,0.0,1.6,42.4,0.0
0.8,27.2,61.2,68.0,66.0,74.0,4.8,7.2,60.0,0.0
24.0,60.8,89.6,53.0,46.0,49.0,47.2,20.0,40.0,0.0
3.6,52.8,58.4,32.0,28.0,34.0,32.8,2.8,26.4,0.0
57.6,95.6,96.8,80.0,74.0,82.0,92.8,52.4,67.6,0.0
30.0,95.6,94.0,65.0,70.0,69.0,43.2,7.6,54.4,0.0
18.8,22.8,90.4,71.0,67.0,78.0,16.8,6.0,58.4,0.0
99.2,99.2,100.0,68.0,57.0,75.0,31.2,4.8,54.8,0.0
44.8,82.0,98.4,72.0,67.0,70.0,66.4,16.4,59.6,0.0
77.2,95.6,99.2,73.0,70.0,80.0,70.4,7.6,66.0,0.0
98.8,100.0,99.6,64.0,55.0,68.0,7.2,2.4,50.4,0.0
0.0,62.4,22.8,49.0,67.0,62.0,29.6,3.2,47.2,0.0
47.6,43.6,95.2,66.0,64.0,74.0,52.0,14.4,58.0,0.0
98.8,96.8,100.0,79.0,70.0,82.0,96.0,19.2,68.0,0.0
99.2,98.4,100.0,78.0,74.0,82.0,97.6,17.2,68.8,0.0
79.6,89.2,99.6,76.0,70.0,80.0,84.8,10.8,69.2,0.0
93.6,100.0,100.0,74.0,69.0,80.0,80.8,9.2,69.2,0.0
52.4,98.8,99.2,67.0,61.0,72.0,59.2,8.4,58.0,0.0
0.0,0.0,4.0,63.0,47.0,64.0,19.2,2.8,42.8,0.0
49.2,65.2,97.6,74.0,73.0,79.0,42.4,11.2,67.2,0.0
81.6,99.6,100.0,72.0,71.0,79.0,83.2,6.4,64.8,0.0
24.4,52.8,54.8,77.0,58.0,77.0,8.8,22.0,57.6,0.0
99.6,99.6,100.0,80.0,74.0,82.0,99.2,30.8,72.8,0.0
42.8,34.8,91.6,79.0,73.0,82.0,95.2,32.8,66.0,0.0
80.8,88.0,99.6,75.0,74.0,81.0,86.4,15.2,66.8,0.0
95.6,97.6,99.6,80.0,74.0,82.0,99.2,55.2,71.6,0.0
0.0,17.2,48.0,67.0,58.0,77.0,44.0,8.4,59.6,0.0
4.0,31.2,68.4,50.0,38.0,48.0,26.4,13.6,38.4,0.0
34.4,99.6,93.6,69.0,66.0,70.0,35.2,30.0,55.6,0.0
45.2,84.8,96.8,68.0,72.0,73.0,85.6,11.2,57.2,0.0
7.6,54.8,80.4,47.0,29.0,40.0,20.0,4.4,29.2,0.0
0.8,46.0,56.0,16.0,13.0,17.0,0.0,0.8,14.8,0.0
77.2,90.8,98.8,73.0,71.0,77.0,95.2,46.0,61.6,0.0
46.4,93.6,96.4,56.0,51.0,62.0,63.2,9.2,50.8,0.0
48.0,58.8,94.0,71.0,67.0,72.0,60.0,4.8,59.2,0.0
43.2,66.0,95.6,78.0,71.0,82.0,59.2,22.0,67.6,0.0
97.6,99.2,100.0,68.0,66.0,72.0,75.2,22.8,58.4,0.0
0.0,0.4,12.8,16.0,16.0,14.0,0.0,1.6,12.8,0.0
48.0,98.8,96.0,41.0,53.0,50.0,69.6,17.2,36.8,0.0
0.0,0.4,4.8,33.0,29.0,32.0,0.0,5.2,28.4,0.0
0.0,23.2,41.2,50.0,64.0,65.0,0.8,0.0,37.2,0.0
60.8,95.6,99.6,63.0,65.0,71.0,24.8,15.6,58.8,0.0
54.8,92.0,94.4,51.0,38.0,45.0,80.0,6.8,42.0,0.0
34.4,56.4,97.6,32.0,27.0,28.0,0.0,2.4,21.6,0.0
27.6,13.6,86.0,70.0,67.0,78.0,23.2,9.2,60.8,0.0
44.0,83.2,95.2,65.0,59.0,72.0,7.2,2.0,52.8,0.0
19.2,76.8,86.8,50.0,48.0,58.0,0.0,0.8,43.6,0.0
78.0,98.8,99.6,75.0,68.0,80.0,68.0,9.2,67.6,0.0
0.0,5.2,3.6,26.0,35.0,31.0,0.0,0.8,21.2,0.0
22.4,82.0,90.8,72.0,73.0,77.0,16.8,12.8,61.2,0.0
89.6,82.4,99.2,40.0,37.0,44.0,0.0,2.4,32.0,0.0
77.2,96.4,100.0,67.0,54.0,71.0,60.0,16.0,55.2,0.0
11.2,13.6,75.6,54.0,49.0,53.0,54.4,0.4,40.0,0.0
37.2,10.0,93.2,75.0,65.0,79.0,53.6,7.6,62.0,0.0
0.0,6.4,0.0,12.0,11.0,14.0,0.0,0.4,10.0,0.0
98.8,100.0,100.0,61.0,68.0,66.0,71.2,2.0,42.0,1.6
72.4,72.4,98.8,75.0,70.0,80.0,46.4,10.8,65.6,0.0
0.0,13.2,6.0,42.0,55.0,52.0,0.0,0.4,35.6,0.0
82.4,95.6,96.4,33.0,23.0,36.0,1.6,0.4,19.6,0.0
92.4,99.6,100.0,74.0,65.0,77.0,91.2,42.8,64.8,0.0
98.0,98.4,100.0,72.0,55.0,72.0,38.4,6.8,58.4,0.0
