M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
12.0,61.6,89.6,64.0,71.0,73.0,39.2,1.6,56.4,0.0
97.2,97.6,100.0,71.0,61.0,74.0,29.6,9.2,59.6,0.0
99.6,100.0,100.0,66.0,60.0,71.0,50.4,4.4,49.6,0.0
63.2,97.2,98.4,58.0,65.0,64.0,77.6,24.8,56.8,0.0
41.6,70.4,96.0,61.0,49.0,69.0,7.2,4.0,47.6,0.0
63.6,75.6,98.8,74.0,67.0,80.0,89.6,10.4,64.0,0.0
76.8,99.6,100.0,72.0,64.0,74.0,80.8,28.8,63.2,0.0
99.6,99.6,100.0,80.0,74.0,82.0,98.4,33.2,71.6,0.0
46.0,91.2,95.6,12.0,11.0,16.0,0.0,0.0,9.6,0.0
40.4,85.6,98.0,71.0,67.0,71.0,89.6,29.2,61.2,0.0
96.8,98.4,100.0,80.0,74.0,82.0,98.4,34.4,71.2,0.0
65.2,99.6,98.4,60.0,63.0,60.0,65.6,29.6,53.6,0.0
98.8,100.0,99.6,24.0,33.0,21.0,76.0,0.8,19.2,0.0
55.2,68.0,97.6,75.0,70.0,80.0,55.2,8.8,69.2,0.0
8.8,84.0,85.6,61.0,42.0,56.0,35.2,2.4,44.0,0.0
26.0,54.8,92.0,63.0,64.0,73.0,56.8,16.4,58.8,0.0
44.8,91.2,95.6,72.0,73.0,71.0,59.2,27.2,63.2,0.0
1.6,62.0,60.8,57.0,71.0,71.0,80.8,1.2,51.6,0.0
100.0,100.0,100.0,80.0,74.0,82.0,100.0,41.6,74.0,0.0
40.4,94.0,99.2,56.0,61.0,62.0,70.4,6.8,40.8,0.0
21.6,82.4,90.4,67.0,57.0,72.0,80.8,20.8,60.4,0.0
68.4,69.6,98.8,75.0,70.0,80.0,70.4,10.4,68.0,0.0
84.8,99.6,100.0,58.0,45.0,60.0,80.0,32.8,50.0,0.0
23.2,89.2,86.0,70.0,69.0,72.0,68.8,35.2,51.2,0.0
0.8,9.2,28.0,25.0,30.0,33.0,0.0,0.0,19.6,0.0
91.6,99.2,100.0,79.0,74.0,80.0,92.8,27.6,70.8,0.0
54.8,99.2,100.0,59.0,55.0,58.0,40.8,14.0,40.8,0.0
10.8,18.8,79.2,67.0,57.0,73.0,8.8,4.0,49.6,0.0
93.6,98.4,100.0,70.0,60.0,72.0,47.2,15.6,57.2,0.0
6.0,55.6,72.8,69.0,53.0,60.0,89.6,25.2,58.4,0.0
94.0,86.4,99.6,80.0,70.0,82.0,96.8,26.0,68.0,0.0
66.4,96.4,99.6,70.0,74.0,77.0,94.4,14.4,68.0,0.0
46.4,88.0,98.4,66.0,58.0,67.0,12.0,17.2,57.2,0.0
70.8,73.6,98.4,74.0,70.0,82.0,50.4,14.4,68.4,0.0
0.0,35.2,16.0,25.0,38.0,32.0,0.0,0.0,16.8,0.0
74.4,99.2,100.0,69.0,68.0,72.0,91.2,34.8,62.8,0.0
60.8,84.4,98.4,73.0,73.0,71.0,35.2,18.0,55.2,0.0
95.6,99.2,99.6,80.0,74.0,82.0,98.4,57.2,72.4,0.0
40.4,75.6,97.2,78.0,69.0,78.0,82.4,24.0,65.2,0.0
100.0,100.0,100.0,70.0,68.0,76.0,66.4,17.2,63.2,0.0
95.2,97.6,100.0,80.0,74.0,82.0,98.4,34.4,72.0,0.0
100.0,99.6,100.0,70.0,63.0,76.0,58.4,8.4,60.4,0.0
34.8,55.2,95.6,74.0,61.0,73.0,89.6,28.0,61.2,0.0
88.8,86.4,98.8,61.0,60.0,71.0,40.0,2.8,52.0,0.0
18.4,41.2,81.2,63.0,39.0,50.0,0.8,11.6,44.4,0.0
18.0,83.2,90.4,50.0,39.0,49.0,45.6,8.4,38.4,0.0
74.4,96.8,98.8,77.0,74.0,82.0,98.4,24.0,70.4,0.0
30.8,98.4,93.2,79.0,74.0,79.0,88.8,46.4,68.0,0.0
82.8,86.8,100.0,76.0,72.0,80.0,87.2,13.2,68.4,0.0
95.6,97.2,100.0,78.0,73.0,82.0,98.4,20.0,67.2,0.0
76.4,63.6,98.4,76.0,72.0,82.0,95.2,15.6,69.2,0.0
38.4,93.6,98.8,61.0,58.0,65.0,69.6,13.6,51.2,0.0
38.0,57.2,97.2,74.0,69.0,80.0,44.0,8.8,64.0,0.0
26.8,93.2,94.4,71.0,66.0,77.0,60.8,8.8,67.6,0.0
60.0,92.8,99.2,74.0,72.0,80.0,76.0,6.8,66.0,0.0
99.2,100.0,100.0,43.0,53.0,49.0,53.6,0.4,23.2,0.0
0.0,23.2,17.2,3.0,0.0,3.0,0.0,0.8,3.2,0.0
100.0,100.0,100.0,68.0,68.0,76.0,93.6,7.6,56.0,4.0
71.6,99.2,99.6,71.0,65.0,69.0,80.0,36.0,56.4,0.0
0.4,13.6,50.0,58.0,52.0,62.0,11.2,0.4,42.4,0.0
60.4,90.8,99.6,68.0,63.0,74.0,14.4,16.8,60.0,0.0
0.8,64.0,78.0,59.0,43.0,64.0,0.0,1.6,42.4,0.0
0.8,28.4,62.4,69.0,66.0,74.0,4.8,7.6,60.4,0.0
25.2,60.8,90.8,53.0,46.0,49.0,48.0,21.2,40.8,0.0
2.8,53.2,57.2,33.0,29.0,36.0,36.8,2.8,27.2,0.0
59.6,94.8,96.4,80.0,74.0,82.0,92.8,52.4,68.0,0.0
31.2,94.0,93.6,66.0,70.0,70.0,42.4,8.4,54.8,0.0
19.2,23.6,90.4,72.0,68.0,78.0,16.8,6.0,58.4,0.0
99.2,99.6,100.0,67.0,56.0,75.0,33.6,4.8,55.2,0.0
44.4,84.4,98.4,72.0,68.0,70.0,67.2,15.6,59.6,0.0
77.6,95.6,99.2,73.0,70.0,80.0,71.2,7.2,67.2,0.0
98.8,100.0,99.6,65.0,56.0,68.0,7.2,2.4,50.4,0.0
0.0,63.6,23.2,50.0,66.0,61.0,29.6,3.2,48.4,0.0
49.6,44.8,95.6,66.0,64.0,75.0,49.6,14.4,58.4,0.0
99.2,96.8,100.0,79.0,70.0,82.0,96.0,18.8,68.0,0.0
99.6,98.4,100.0,76.0,74.0,82.0,97.6,17.6,69.2,0.0
80.0,90.0,100.0,76.0,71.0,80.0,84.8,10.8,69.6,0.0
94.0,100.0,100.0,74.0,69.0,80.0,80.0,9.2,69.2,0.0
52.0,98.4,99.2,67.0,61.0,72.0,62.4,8.4,58.0,0.0
0.0,0.0,4.0,63.0,47.0,65.0,18.4,3.2,43.2,0.0
52.0,66.4,97.6,74.0,73.0,79.0,41.6,11.2,67.2,0.0
83.2,99.6,100.0,73.0,71.0,79.0,83.2,6.4,64.4,0.0
24.8,53.2,53.6,77.0,59.0,77.0,10.4,22.8,58.0,0.0
99.6,99.6,100.0,80.0,74.0,82.0,100.0,31.6,72.4,0.0
44.8,36.0,91.2,80.0,73.0,82.0,96.0,32.8,66.0,0.0
81.6,88.8,99.6,75.0,74.0,81.0,85.6,15.2,65.6,0.0
96.4,97.6,99.2,80.0,74.0,82.0,99.2,55.6,71.6,0.0
0.0,17.6,48.4,67.0,59.0,77.0,42.4,9.2,60.4,0.0
