M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
12.4,63.6,90.8,64.0,71.0,73.0,44.0,1.6,56.8,0.0
98.0,98.0,100.0,71.0,61.0,74.0,30.4,9.6,59.6,0.0
99.6,100.0,100.0,66.0,59.0,71.0,52.8,4.8,49.2,0.0
65.6,96.8,98.4,58.0,66.0,65.0,79.2,25.6,56.8,0.0
43.6,71.2,96.0,61.0,49.0,69.0,7.2,4.0,48.0,0.0
63.6,76.8,98.8,74.0,67.0,80.0,90.4,10.4,64.0,0.0
79.6,99.6,100.0,72.0,65.0,74.0,80.8,28.8,63.2,0.0
99.6,99.6,100.0,80.0,74.0,82.0,98.4,34.0,71.2,0.0
46.8,92.8,95.6,12.0,11.0,16.0,0.0,0.0,10.0,0.0
43.6,85.6,98.4,71.0,67.0,71.0,90.4,30.0,60.8,0.0
98.0,98.4,100.0,80.0,74.0,82.0,98.4,34.4,71.2,0.0
67.6,99.6,98.4,60.0,63.0,60.0,66.4,30.4,53.6,0.0
99.2,100.0,99.6,23.0,32.0,22.0,77.6,0.4,19.2,0.0
56.8,68.4,98.0,75.0,70.0,80.0,56.8,9.2,69.6,0.0
9.2,84.8,85.6,60.0,42.0,57.0,36.8,2.8,44.4,0.0
29.2,55.2,92.8,63.0,64.0,75.0,63.2,16.8,59.6,0.0
49.2,92.8,96.8,73.0,73.0,70.0,58.4,29.2,64.0,0.0
1.6,63.6,60.4,58.0,71.0,71.0,82.4,0.8,52.0,0.0
100.0,100.0,100.0,80.0,74.0,82.0,100.0,42.0,74.0,0.0
40.8,95.2,99.6,56.0,62.0,61.0,71.2,6.4,40.0,0.0
21.2,82.4,90.0,68.0,57.0,72.0,83.2,20.8,60.4,0.0
68.4,71.6,99.2,75.0,70.0,80.0,73.6,10.4,68.4,0.0
86.8,100.0,100.0,58.0,46.0,59.0,80.0,32.8,50.4,0.0
24.4,89.6,88.0,72.0,68.0,72.0,70.4,36.0,51.2,0.0
0.8,10.4,29.6,25.0,32.0,33.0,0.0,0.0,19.6,0.0
93.2,99.2,100.0,79.0,74.0,80.0,92.8,28.0,70.8,0.0
56.8,99.2,100.0,59.0,55.0,58.0,41.6,14.8,41.2,0.0
11.2,19.6,79.2,67.0,57.0,73.0,9.6,4.0,50.0,0.0
94.4,99.2,100.0,70.0,60.0,72.0,51.2,16.8,57.2,0.0
6.0,56.0,74.8,69.0,53.0,62.0,89.6,25.6,58.4,0.0
94.8,86.4,99.6,80.0,70.0,82.0,97.6,26.8,68.0,0.0
69.2,98.0,99.6,70.0,74.0,77.0,94.4,14.4,68.4,0.0
47.6,88.4,98.4,66.0,59.0,68.0,10.4,18.0,57.2,0.0
71.6,74.0,98.4,74.0,71.0,82.0,51.2,15.2,68.8,0.0
0.0,36.8,17.2,25.0,38.0,32.0,0.0,0.0,17.6,0.0
77.6,99.2,100.0,70.0,68.0,71.0,91.2,36.0,62.8,0.0
65.2,85.2,98.4,73.0,73.0,71.0,34.4,18.8,55.2,0.0
95.6,99.6,100.0,80.0,74.0,82.0,98.4,57.2,72.4,0.0
42.4,76.8,97.2,78.0,69.0,78.0,83.2,24.0,64.8,0.0
100.0,100.0,100.0,70.0,68.0,76.0,68.0,18.0,63.6,0.0
95.6,97.6,100.0,80.0,74.0,82.0,98.4,34.4,72.4,0.0
100.0,100.0,100.0,70.0,63.0,76.0,59.2,8.0,60.4,0.0
36.8,56.8,95.6,74.0,61.0,73.0,89.6,28.0,61.2,0.0
90.4,86.8,98.8,61.0,61.0,71.0,46.4,2.8,52.4,0.0
20.8,43.6,84.0,64.0,39.0,50.0,0.0,12.0,44.8,0.0
17.6,83.6,91.2,50.0,41.0,50.0,50.4,8.8,38.8,0.0
74.4,97.6,98.8,77.0,74.0,82.0,98.4,24.4,70.4,0.0
31.6,98.4,93.2,79.0,74.0,79.0,89.6,46.8,68.0,0.0
82.8,86.8,100.0,76.0,72.0,80.0,88.0,13.6,68.8,0.0
96.0,98.4,100.0,78.0,73.0,82.0,98.4,20.0,67.2,0.0
76.0,64.0,98.8,77.0,72.0,82.0,96.0,16.0,69.2,0.0
39.2,94.0,99.2,61.0,58.0,65.0,70.4,13.6,51.2,0.0
