M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
11.6,60.0,88.4,64.0,71.0,73.0,37.6,1.6,55.6,0.0
96.8,97.6,100.0,71.0,61.0,74.0,29.6,8.8,58.8,0.0
99.6,100.0,100.0,66.0,60.0,71.0,49.6,4.4,49.6,0.0
61.6,96.8,98.0,60.0,65.0,63.0,78.4,24.8,57.2,0.0
39.2,70.0,95.2,61.0,49.0,69.0,7.2,4.0,47.2,0.0
64.0,74.0,98.8,74.0,67.0,80.0,89.6,10.0,64.0,0.0
76.4,99.6,100.0,72.0,62.0,74.0,80.0,27.6,63.2,0.0
99.6,99.2,100.0,80.0,74.0,82.0,98.4,32.0,71.6,0.0
46.4,92.0,95.6,12.0,12.0,15.0,0.0,0.0,9.6,0.0
39.2,85.2,98.4,71.0,66.0,71.0,88.8,29.2,61.6,0.0
96.4,97.6,100.0,80.0,74.0,82.0,98.4,34.0,71.6,0.0
65.2,99.6,97.6,59.0,62.0,61.0,65.6,29.6,52.8,0.0
98.8,100.0,99.6,24.0,33.0,22.0,76.0,0.8,17.6,0.0
55.2,64.8,98.0,75.0,68.0,80.0,53.6,8.4,69.6,0.0
7.2,83.2,83.2,59.0,40.0,56.0,32.0,2.4,44.0,0.0
23.6,54.0,91.2,63.0,64.0,73.0,59.2,14.8,60.0,0.0
40.0,90.4,96.0,72.0,74.0,71.0,57.6,25.6,63.6,0.0
1.6,59.6,60.4,58.0,71.0,70.0,80.8,1.2,50.8,0.0
100.0,100.0,100.0,80.0,74.0,82.0,100.0,41.6,74.4,0.0
38.4,94.0,98.8,56.0,60.0,63.0,68.0,6.8,40.8,0.0
22.4,82.0,90.4,66.0,57.0,72.0,80.8,19.6,60.8,0.0
66.0,67.6,98.8,75.0,69.0,80.0,70.4,10.0,68.4,0.0
83.2,99.6,100.0,58.0,46.0,60.0,80.0,32.4,50.4,0.0
24.0,88.4,85.6,71.0,70.0,73.0,68.0,34.4,51.2,0.0
0.8,8.4,28.8,26.0,31.0,32.0,0.0,0.0,20.0,0.0
89.2,98.8,100.0,79.0,74.0,80.0,93.6,26.8,71.2,0.0
52.8,99.2,99.6,59.0,54.0,56.0,35.2,13.6,41.2,0.0
10.0,18.8,78.0,67.0,57.0,74.0,8.8,4.0,49.6,0.0
92.0,98.4,100.0,70.0,59.0,72.0,45.6,15.2,57.2,0.0
5.2,55.6,73.6,69.0,54.0,60.0,89.6,25.2,57.6,0.0
89.2,85.2,99.6,80.0,70.0,82.0,97.6,26.0,68.4,0.0
64.4,96.4,99.2,70.0,74.0,77.0,94.4,14.4,68.8,0.0
42.0,88.0,98.4,66.0,58.0,67.0,11.2,16.8,57.6,0.0
66.8,72.0,98.8,74.0,70.0,81.0,49.6,13.6,68.8,0.0
0.0,32.4,11.6,25.0,39.0,32.0,0.0,0.0,16.8,0.0
75.2,99.2,100.0,68.0,69.0,72.0,90.4,35.6,63.2,0.0
58.8,83.2,98.4,74.0,73.0,70.0,31.2,16.4,54.4,0.0
94.4,98.8,99.2,80.0,74.0,82.0,98.4,57.6,72.8,0.0
38.4,73.2,97.2,78.0,70.0,78.0,81.6,23.6,66.8,0.0
100.0,100.0,100.0,70.0,67.0,76.0,64.8,17.6,64.0,0.0
93.6,96.4,100.0,80.0,74.0,82.0,98.4,34.4,72.8,0.0
100.0,100.0,100.0,70.0,63.0,76.0,53.6,8.4,59.6,0.0
34.4,54.4,94.4,74.0,61.0,73.0,88.0,27.6,61.6,0.0
86.4,86.0,98.4,61.0,59.0,71.0,39.2,2.8,52.0,0.0
14.0,38.4,76.8,63.0,39.0,50.0,0.0,10.8,44.8,0.0
18.4,83.2,89.6,49.0,39.0,49.0,45.6,8.4,38.8,0.0
73.2,96.4,98.8,77.0,74.0,82.0,98.4,24.0,71.6,0.0
30.0,98.4,93.6,78.0,74.0,79.0,87.2,46.0,68.8,0.0
81.2,85.6,99.6,76.0,72.0,80.0,87.2,14.0,68.8,0.0
94.0,96.4,100.0,77.0,73.0,82.0,98.4,19.6,68.0,0.0
74.4,60.8,98.4,77.0,72.0,82.0,96.0,16.4,68.8,0.0
38.8,93.6,99.2,61.0,58.0,65.0,68.0,12.8,52.0,0.0
39.2,55.6,96.8,74.0,69.0,80.0,40.8,8.4,64.0,0.0
25.6,92.4,94.0,71.0,65.0,77.0,57.6,8.4,67.2,0.0
58.8,89.6,98.8,74.0,72.0,79.0,77.6,6.4,66.0,0.0
99.2,100.0,100.0,43.0,53.0,49.0,53.6,0.4,22.0,0.0
0.0,22.8,14.8,3.0,0.0,3.0,0.0,0.8,2.4,0.0
100.0,100.0,100.0,68.0,68.0,75.0,95.2,7.6,56.4,4.0
67.6,99.2,100.0,71.0,68.0,70.0,80.0,35.6,56.8,0.0
0.4,13.2,50.4,58.0,52.0,62.0,9.6,0.4,42.0,0.0
57.6,90.8,99.2,69.0,62.0,74.0,8.8,16.8,60.4,0.0
