roman,study_name,time,dofs,Pathway_status_M1_cf_face_right.json_activated,Pathway_status_M1_cf_face_right.json_activated_rel_error,Pathway_status_M1_cf_face_right.json_activated_max_error,Pathway_status_M1_cf_lowerex_right.json_activated,Pathway_status_M1_cf_lowerex_right.json_activated_rel_error,Pathway_status_M1_cf_lowerex_right.json_activated_max_error,Pathway_status_M1_cf_upperex_right.json_activated,Pathway_status_M1_cf_upperex_right.json_activated_rel_error,Pathway_status_M1_cf_upperex_right.json_activated_max_error,Pathway_status_R_M1_hdp_face_right.json_activated,Pathway_status_R_M1_hdp_face_right.json_activated_rel_error,Pathway_status_R_M1_hdp_face_right.json_activated_max_error,Pathway_status_R_M1_hdp_lowerex_right.json_activated,Pathway_status_R_M1_hdp_lowerex_right.json_activated_rel_error,Pathway_status_R_M1_hdp_lowerex_right.json_activated_max_error,Pathway_status_R_M1_hdp_upperex_right.json_activated,Pathway_status_R_M1_hdp_upperex_right.json_activated_rel_error,Pathway_status_R_M1_hdp_upperex_right.json_activated_max_error,Pathway_status_cerebellothalamic_right.json_activated,Pathway_status_cerebellothalamic_right.json_activated_rel_error,Pathway_status_cerebellothalamic_right.json_activated_max_error,Pathway_status_gpe2stn_ass_right.json_activated,Pathway_status_gpe2stn_ass_right.json_activated_rel_error,Pathway_status_gpe2stn_ass_right.json_activated_max_error,Pathway_status_gpe2stn_sm_right.json_activated,Pathway_status_gpe2stn_sm_right.json_activated_rel_error,Pathway_status_gpe2stn_sm_right.json_activated_max_error,Pathway_status_medial_lemniscus_right.json_activated,Pathway_status_medial_lemniscus_right.json_activated_rel_error,Pathway_status_medial_lemniscus_right.json_activated_max_error,best_time,best_dofs,Pathway_status_M1_cf_face_right.json_activated_best,Pathway_status_M1_cf_lowerex_right.json_activated_best,Pathway_status_M1_cf_upperex_right.json_activated_best,Pathway_status_R_M1_hdp_face_right.json_activated_best,Pathway_status_R_M1_hdp_lowerex_right.json_activated_best,Pathway_status_R_M1_hdp_upperex_right.json_activated_best,Pathway_status_cerebellothalamic_right.json_activated_best,Pathway_status_gpe2stn_ass_right.json_activated_best,Pathway_status_gpe2stn_sm_right.json_activated_best,Pathway_status_medial_lemniscus_right.json_activated_best
\rom{1},default,19.889266967773438,47406,48.044094488188975,1.9511811023622048,16.400000000000006,67.55590551181102,1.3464566929133859,7.200000000000003,80.19685039370079,0.9118110236220472,8.399999999999999,58.7992125984252,0.47244094488188976,3.0,54.645669291338585,0.6496062992125984,6.0,61.92913385826772,0.5196850393700787,4.0,46.403149606299216,1.6661417322834644,9.600000000000001,13.116535433070865,0.5716535433070865,3.599999999999998,49.188976377952756,0.5307086614173226,2.4000000000000057,0.02519685039370079,0.01889763779527559,1.5999999999999996,104563.50295090675,25021074,49.881889763779526,68.7984251968504,80.96692913385826,59.011811023622045,55.05118110236221,62.16535433070866,48.0,13.625196850393701,49.24094488188976,0.04409448818897638
\rom{2},default_meshsize,135.51840043067932,368464,48.67244094488189,1.2629921259842523,8.0,67.76692913385827,1.1858267716535436,8.400000000000006,80.4251968503937,0.7401574803149606,6.799999999999997,58.854330708661415,0.4409448818897638,3.0,54.63779527559055,0.610236220472441,5.0,61.97244094488189,0.42913385826771655,4.0,46.45984251968504,1.6283464566929131,10.399999999999999,13.248818897637797,0.42362204724409436,3.1999999999999993,48.872440944881895,0.5385826771653542,2.799999999999997,0.031496062992125984,0.01259842519685039,1.5999999999999996,104563.50295090675,25021074,49.881889763779526,68.7984251968504,80.96692913385826,59.011811023622045,55.05118110236221,62.16535433070866,48.0,13.625196850393701,49.24094488188976,0.04409448818897638
\rom{3},fine,59.665000915527344,179918,48.92125984251968,1.0141732283464568,8.799999999999997,68.1732283464567,0.6724409448818898,4.0,80.59370078740157,0.44566929133858274,4.0,58.91338582677165,0.24015748031496062,2.0,54.88582677165354,0.2677165354330709,3.0,62.04330708661417,0.2952755905511811,3.0,47.07401574803149,1.0393700787401574,7.199999999999999,13.398425196850393,0.2551181102362204,2.0,49.08346456692914,0.2866141732283466,1.6000000000000014,0.031496062992125984,0.01259842519685039,1.5999999999999996,104563.50295090675,25021074,49.881889763779526,68.7984251968504,80.96692913385826,59.011811023622045,55.05118110236221,62.16535433070866,48.0,13.625196850393701,49.24094488188976,0.04409448818897638
\rom{4},material_refinement,665.0060033798218,1147265,49.43307086614173,0.5023622047244095,4.399999999999999,68.47716535433071,0.447244094488189,3.6000000000000085,80.78425196850394,0.3118110236220473,3.6000000000000014,58.94881889763779,0.2440944881889764,2.0,54.90551181102362,0.2874015748031496,3.0,62.09055118110236,0.27165354330708663,3.0,47.32283464566929,0.8409448818897639,7.199999999999999,13.477165354330708,0.19527559055118107,1.5999999999999996,49.12283464566929,0.28188976377952774,1.6000000000000014,0.03779527559055119,0.006299212598425195,0.7999999999999998,104563.50295090675,25021074,49.881889763779526,68.7984251968504,80.96692913385826,59.011811023622045,55.05118110236221,62.16535433070866,48.0,13.625196850393701,49.24094488188976,0.04409448818897638
\rom{5},fine_edge_refinement,20.6412193775177,55288,48.27244094488189,1.656692913385827,13.600000000000001,67.73228346456693,1.195275590551181,7.599999999999994,80.38425196850393,0.6929133858267721,7.199999999999996,58.803149606299215,0.484251968503937,3.0,54.625984251968504,0.6220472440944882,5.0,62.023622047244096,0.4330708661417323,3.0,46.70236220472441,1.5181102362204726,9.600000000000001,13.236220472440944,0.4519685039370078,3.1999999999999993,48.85354330708662,0.5354330708661418,2.799999999999997,0.02519685039370079,0.018897637795275587,2.3999999999999995,104563.50295090675,25021074,49.881889763779526,68.7984251968504,80.96692913385826,59.011811023622045,55.05118110236221,62.16535433070866,48.0,13.625196850393701,49.24094488188976,0.04409448818897638
\rom{6},edge_single_material_refinement,36.11170840263367,110684,49.01417322834645,1.015748031496063,9.200000000000003,68.25826771653543,0.7354330708661418,4.799999999999997,80.62677165354332,0.503937007874016,6.399999999999999,58.838582677165356,0.47244094488188976,3.0,54.65748031496063,0.6141732283464567,4.0,62.031496062992126,0.41732283464566927,3.0,47.13070866141732,1.2031496062992126,9.600000000000001,13.31496062992126,0.363779527559055,2.8000000000000007,48.90393700787402,0.5259842519685038,2.799999999999997,0.031496062992125984,0.01259842519685039,1.5999999999999996,104563.50295090675,25021074,49.881889763779526,68.7984251968504,80.96692913385826,59.011811023622045,55.05118110236221,62.16535433070866,48.0,13.625196850393701,49.24094488188976,0.04409448818897638
\rom{7},hp_refinement,29.95304298400879,61859,48.949606299212604,1.1811023622047239,12.800000000000004,68.50393700787401,0.5559055118110235,4.799999999999997,80.7496062992126,0.36850393700787426,7.199999999999996,58.94881889763779,0.2440944881889764,3.0,55.01968503937008,0.29133858267716534,2.0,62.16535433070866,0.2992125984251969,3.0,47.82992125984252,0.7748031496062995,6.399999999999999,13.481889763779526,0.2755905511811023,3.1999999999999993,49.61732283464567,0.46141732283464554,2.3999999999999986,0.02519685039370079,0.01889763779527559,1.5999999999999996,104563.50295090675,25021074,49.881889763779526,68.7984251968504,80.96692913385826,59.011811023622045,55.05118110236221,62.16535433070866,48.0,13.625196850393701,49.24094488188976,0.04409448818897638
\rom{8},hp_material_refinement,51.99954438209534,117839,49.48346456692913,0.6692913385826774,8.400000000000006,68.61574803149607,0.3590551181102364,3.6000000000000085,80.8251968503937,0.27716535433070894,6.399999999999999,58.98425196850393,0.20078740157480315,3.0,55.031496062992126,0.2952755905511811,2.0,62.20866141732284,0.2874015748031496,3.0,48.02204724409449,0.6519685039370082,4.800000000000004,13.551181102362206,0.21889763779527552,3.1999999999999993,49.64724409448819,0.46299212598425177,2.3999999999999986,0.031496062992125984,0.01259842519685039,1.5999999999999996,104563.50295090675,25021074,49.881889763779526,68.7984251968504,80.96692913385826,59.011811023622045,55.05118110236221,62.16535433070866,48.0,13.625196850393701,49.24094488188976,0.04409448818897638
