M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
14.4,65.6,91.6,65.0,71.0,73.0,49.6,2.8,58.0,0.0
98.4,98.0,100.0,71.0,62.0,74.0,36.8,10.0,60.8,0.0
99.6,100.0,100.0,66.0,60.0,71.0,67.2,6.0,51.2,0.0
69.2,98.0,98.8,60.0,66.0,65.0,79.2,26.8,57.2,0.0
54.0,77.6,97.2,61.0,52.0,69.0,8.0,4.4,48.8,0.0
69.2,80.4,98.8,74.0,67.0,80.0,90.4,10.8,66.0,0.0
83.2,100.0,100.0,72.0,65.0,74.0,82.4,31.2,64.0,0.0
100.0,99.6,100.0,80.0,74.0,82.0,99.2,35.6,72.8,0.0
54.4,96.4,96.8,13.0,12.0,17.0,0.0,0.0,10.0,0.0
46.0,87.6,98.4,72.0,67.0,71.0,91.2,31.6,61.6,0.0
98.8,98.4,100.0,80.0,74.0,82.0,98.4,35.2,71.6,0.0
71.2,99.6,98.4,60.0,63.0,62.0,72.0,32.8,54.0,0.0
99.2,100.0,100.0,25.0,33.0,24.0,80.0,1.2,20.4,0.0
62.0,71.6,98.8,75.0,71.0,80.0,58.4,9.6,70.0,0.0
10.8,87.6,87.6,61.0,43.0,58.0,41.6,2.8,45.2,0.0
32.0,62.0,95.2,63.0,65.0,75.0,62.4,17.6,60.4,0.0
51.6,93.2,97.2,73.0,73.0,73.0,64.0,31.2,64.4,0.0
2.8,66.8,67.6,61.0,72.0,71.0,84.0,1.2,52.8,0.0
100.0,100.0,100.0,80.0,74.0,82.0,100.0,43.2,74.4,0.0
47.2,96.4,99.6,56.0,63.0,64.0,71.2,6.8,43.2,0.0
27.6,86.4,93.2,69.0,59.0,72.0,84.0,21.2,61.6,0.0
72.4,75.2,99.2,76.0,71.0,80.0,76.8,11.2,70.0,0.0
88.4,100.0,100.0,61.0,46.0,61.0,80.0,34.0,50.8,0.0
28.0,92.0,90.8,72.0,71.0,72.0,73.6,38.4,55.6,0.0
2.8,11.6,36.8,26.0,34.0,34.0,0.0,0.0,20.4,0.0
95.6,99.2,100.0,79.0,74.0,80.0,94.4,29.6,71.2,0.0
61.2,99.2,100.0,60.0,56.0,60.0,47.2,15.2,42.0,0.0
12.8,22.8,84.4,68.0,60.0,76.0,11.2,4.0,50.8,0.0
96.0,99.2,100.0,71.0,60.0,72.0,52.8,18.4,58.4,0.0
7.6,61.6,79.2,72.0,55.0,62.0,90.4,27.2,58.8,0.0
97.6,88.0,100.0,80.0,70.0,82.0,98.4,27.6,69.2,0.0
74.0,98.4,100.0,70.0,74.0,78.0,94.4,16.8,69.6,0.0
50.8,90.8,99.2,67.0,59.0,70.0,14.4,18.4,57.6,0.0
76.8,79.2,98.8,74.0,71.0,82.0,56.8,15.2,69.2,0.0
0.0,40.0,18.4,26.0,39.0,32.0,0.0,0.0,18.4,0.0
81.2,99.2,100.0,71.0,69.0,72.0,92.0,37.6,64.4,0.0
67.6,86.8,98.8,75.0,73.0,71.0,38.4,20.8,56.0,0.0
96.8,99.6,100.0,80.0,74.0,82.0,98.4,58.8,72.8,0.0
44.4,78.8,97.6,78.0,70.0,78.0,85.6,25.2,67.2,0.0
100.0,100.0,100.0,70.0,68.0,78.0,73.6,18.8,65.6,0.0
97.6,97.6,100.0,80.0,74.0,82.0,98.4,35.2,72.8,0.0
100.0,100.0,100.0,70.0,64.0,76.0,69.6,9.2,62.0,0.0
41.6,61.2,96.8,74.0,61.0,74.0,90.4,28.8,62.0,0.0
94.4,91.2,98.8,61.0,60.0,71.0,46.4,2.8,54.0,0.0
21.6,46.4,86.0,64.0,39.0,50.0,4.0,12.0,45.6,0.0
21.2,86.8,92.8,52.0,41.0,50.0,51.2,8.8,39.2,0.0
78.8,97.6,98.8,77.0,74.0,82.0,98.4,25.6,71.6,0.0
35.6,99.6,95.6,80.0,74.0,80.0,90.4,48.8,70.4,0.0
85.2,89.2,100.0,76.0,72.0,81.0,89.6,14.0,69.6,0.0
98.0,98.4,100.0,78.0,74.0,82.0,98.4,20.4,69.2,0.0
80.8,68.8,98.8,77.0,72.0,82.0,97.6,16.8,70.0,0.0
44.4,96.4,99.6,63.0,59.0,65.0,70.4,14.4,52.8,0.0
43.2,61.2,97.6,74.0,69.0,80.0,51.2,9.6,65.6,0.0
33.2,95.2,95.2,72.0,67.0,77.0,64.8,9.6,68.4,0.0
67.2,94.0,99.2,74.0,72.0,80.0,77.6,7.2,66.8,0.0
99.2,100.0,100.0,44.0,54.0,49.0,68.0,0.8,25.2,0.0
0.0,27.2,20.4,3.0,0.0,3.0,0.0,0.8,3.2,0.0
100.0,100.0,100.0,68.0,68.0,76.0,96.8,9.6,59.2,8.0
79.2,99.6,100.0,71.0,66.0,70.0,81.6,38.8,57.6,0.0
0.4,16.8,57.2,58.0,53.0,63.0,12.8,0.4,44.4,0.0
66.8,92.4,99.6,69.0,64.0,74.0,17.6,18.4,61.6,0.0
2.4,68.4,83.2,59.0,43.0,65.0,4.0,2.0,45.2,0.0
2.0,32.8,68.0,69.0,67.0,74.0,7.2,9.6,61.2,0.0
30.0,66.4,92.0,55.0,46.0,51.0,54.4,22.4,42.0,0.0
4.8,58.0,62.0,35.0,31.0,40.0,38.4,3.2,28.4,0.0
69.6,96.8,98.0,80.0,74.0,82.0,92.8,54.4,69.2,0.0
36.8,96.4,94.8,68.0,70.0,72.0,49.6,9.2,56.4,0.0
23.2,26.0,91.6,72.0,69.0,79.0,23.2,6.4,60.4,0.0
99.6,100.0,100.0,69.0,59.0,76.0,41.6,4.8,58.0,0.0
47.6,86.4,98.8,72.0,68.0,71.0,69.6,16.8,61.2,0.0
82.8,96.8,100.0,74.0,72.0,80.0,80.0,8.8,68.8,0.0
98.8,100.0,99.6,66.0,56.0,68.0,8.8,2.4,51.2,0.0
0.0,69.2,28.4,51.0,67.0,62.0,31.2,3.6,50.4,0.0
59.6,54.4,98.8,66.0,64.0,75.0,55.2,14.8,60.0,0.0
99.2,98.0,100.0,79.0,71.0,82.0,98.4,19.6,68.8,0.0
99.6,99.2,100.0,78.0,74.0,82.0,97.6,18.4,70.0,0.0
82.8,93.6,100.0,76.0,71.0,80.0,85.6,11.6,70.0,0.0
96.4,100.0,100.0,74.0,69.0,80.0,81.6,9.6,69.6,0.0
58.4,99.2,99.6,67.0,63.0,72.0,67.2,8.8,60.0,0.0
0.0,2.0,6.8,66.0,49.0,67.0,20.8,3.2,44.4,0.0
55.6,71.2,97.6,75.0,73.0,79.0,52.0,12.4,69.2,0.0
86.0,100.0,100.0,73.0,72.0,79.0,87.2,6.8,66.0,0.0
30.4,62.8,59.6,78.0,62.0,77.0,12.8,26.0,59.6,0.0
99.6,99.6,100.0,80.0,74.0,82.0,100.0,33.2,72.8,0.0
51.2,41.6,94.8,80.0,73.0,82.0,96.8,34.8,68.8,0.0
